name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Lacoste - .12.12 - 2011318,.12.12,"
      Lacoste","EGP 5,900.00",Unsex,China,Quartz,Plastic,Silicone,Mineral,2011318
D1 Milano - Red Blast - PHBJ05,Red Blast,"
      D1 Milano","EGP 15,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating - Hidden Butterfly Clasp",Mineral,PHBJ05
D1 Milano - Green Blast - PHBJ02,Green Blast,"
      D1 Milano","EGP 15,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PHBJ02
D1 Milano - Orange Blast - PHBJ01,Orange Blast,"
      D1 Milano","EGP 15,990.00",Men,China,Quartz,"Material Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","GlassMineral, Anti-Reflective Coating",PHBJ01
D1 Milano - Akebia Mesh - PCBU15,Akebia Mesh,"
      D1 Milano","EGP 13,990.00",Women,China,Quartz,"Polycarbonate, Soft-Touch Coating","Taupe Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU15
D1 Milano - Gold Mesh - PCBU14,Gold Mesh,"
      D1 Milano","EGP 13,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Black Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU14
D1 Milano - Gold Mesh - PCBU13,Gold Mesh,"
      D1 Milano","EGP 13,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Black Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU13
D1 Milano - Green_01 - PCBU10,Green_01,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Green Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU10
D1 Milano - Blue_01 - PCBU09,Blue_01,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Taupe Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU09
D1 Milano - Grey_01 - PCBU08,Grey_01,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Grey Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU08
D1 Milano - Black_01 - PCBU07,Black_01,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Black Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU07
D1 Milano - Ecru - PCBU06,Ecru,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Taupe Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU06
D1 Milano - Akebia - PCBU03,Akebia,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Grey Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU03
D1 Milano - Black Mesh - PCBJ35,Black Mesh,"
      D1 Milano","EGP 13,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBJ35
D1 Milano - Military Green - PCBJ22,Military Green,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ22
D1 Milano - Navy Blue - PCBJ21,Navy Blue,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ21
Frederique Constant - The Classics Moneta Moonphase - FC - 206B3S6,The Classics Moneta Moonphase,"
      Frederique Constant","EGP 63,730.00",Unisex,Switzerland,Quartz,Stainless steel,Calf leather with crocodile pattern,Mineral,FC-206B3S6
Hugo Boss - Velocity - HB151.3716,Velocity,"
      Hugo Boss","EGP 15,215.00",Men,Unknown,Quartz,Stainless Steel,Silicone,Mineral,1513716
Hugo Boss - Velocity - HB151.3718,Velocity,"
      Hugo Boss","EGP 18,135.00",Men,Unknown,Quartz,Plated Black Steel,Silicone,Mineral,1513718
Hugo Boss - Hero - HB151.3757,Hero,"
      Hugo Boss","EGP 20,900.00",Men,Unknown,Quartz,Stainless Steel,Two Tone Stainless Steel,Mineral,1513757
Hugo Boss - Skymaster - HB151.3784,Skymaster,"
      Hugo Boss","EGP 19,900.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513784
Hugo Boss - Metronome - HB151.3801,Metronome,"
      Hugo Boss","EGP 18,135.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513801
Hugo Boss - Champion - HB151.3816,Champion,"
      Hugo Boss","EGP 18,470.00",Men,Unknown,Quartz,Stainless Steel,Leather,Mineral,1513816
Hugo Boss - Elite - HB151.3895,Elite,"
      Hugo Boss","EGP 14,510.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513895
Hugo Boss - Elite Business - HB151.3896,Elite Business,"
      Hugo Boss","EGP 14,510.00",Male,Unknown,Quartz,Mineral,Stainless Steel,Mineral,1513896
Hugo Boss - Admiral - HB151.3905,Admiral,"
      Hugo Boss","EGP 19,965.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513905
Hugo Boss - Admiral - HB151.3907,Admiral,"
      Hugo Boss","EGP 19,965.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513907
Hugo Boss - Admiral - HB151.3908,Admiral,"
      Hugo Boss","EGP 21,990.00",Men,Unknown,Quartz,Stainless steel,Stainless steel,Mineral,1513908
Hugo Boss - Allure - HB151.3922,Allure,"
      Hugo Boss","EGP 15,830.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513922
Hugo Boss - Skymaster - HB151.3938,Skymaster,"
      Hugo Boss","EGP 19,350.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513938
Hugo Boss - Energy - HB151.3971,Energy,"
      Hugo Boss","EGP 19,900.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513971
Hugo Boss - Energy - HB151.3974,Energy,"
      Hugo Boss","EGP 22,870.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1513974
